query_seq	what_def	kid	pathway	family	genus_sp
lcl|FLDA00M02IBT14	histone H2A	K11251	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IBUM1	"dTDP-glucose 4,6-dehydratase"	K01710	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IBWZG	large subunit ribosomal protein L37e	K02922	Ribosome	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IC2N2	large subunit ribosomal protein L30e	K02908	Ribosome	bacillariaceae	Phaeodactylum
lcl|FLDA00M02IC34Y	phosphoribosylamine--glycine ligase / phosphoribosylglycinamide	K11787	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IC46X	small subunit ribosomal protein S6e	K02991	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IC5QJ	large subunit ribosomal protein LP1	K02942	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IC9YF	"MFS transporter, MHS family, metabolite:H+ symporter, other"	K03288	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02ICC2B	inorganic pyrophosphatase	K01507	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02ICPOI	large subunit ribosomal protein L26e	K02898	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02ICV6T	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02ICZK6	phosphoribosylamine--glycine ligase / phosphoribosylglycinamide	K11787	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02ID1Y2	"3,8-divinyl protochlorophyllide a 8-vinyl reductase, putative chloroplast precursor"	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02ID5B0	adenosylhomocysteinase	K01251	Cysteine and methionine metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02ID635	(R)-2-hydroxyacid dehydrogenase	K05884	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02ID7TF	S-adenosylmethionine synthetase	K00789	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02IDBRH	elongation factor EF-P	K02356	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IDS07	large subunit ribosomal protein L15	K02876	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IE564	"dTDP-glucose 4,6-dehydratase"	K01710	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IEAOG	"protein phosphatase 2 (formerly 2A), catalytic subunit"	K04382	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M02IEAP0	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IEDGV	large subunit ribosomal protein L15e	K02877	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IEJUI	phosphoglycerate kinase	K00927	Glycolysis / Gluconeogenesis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IEKKZ	solute carrier family 25 (mitochondrial carrier; adenine nucleotide	K05863	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02IELMX	small subunit ribosomal protein S14e	K02955	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IENJY	photosystem II PsbA protein	K02703	Photosynthesis	bacillariaceae	Thalassiosira
lcl|FLDA00M02IENPU	glutamine synthetase	K01915	"Alanine, aspartate and glutamate metabolism"	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M02IEQMB	plastocyanin	K02638	Photosynthesis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IF8VP	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IFBV1	heat shock 70kDa protein 5	K09490	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02IFCHP	elongation factor EF-1 alpha subunit	K03231	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02IFCNT	lcl|pti:PHATR_43938	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IFGEE	small subunit ribosomal protein S30e	K02983	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M02IFGNC	lcl|ptm:GSPATT00025220001	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IFHP9	thioredoxin 1	K03671	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IFSO2	demethylmenaquinone methyltransferase/aldolase	NA	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M02IFVJ4	lcl|tps:THAPSDRAFT_20812*	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02IFVL7	large subunit ribosomal protein L11e	K02868	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IG0A6	small subunit ribosomal protein S17e	K02962	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IGB4T	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M02IGFY4	cytochrome c oxidase subunit I	K02256	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IGJA9	elongation factor EF-1 alpha subunit	K03231	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M02IGKV5	stress-induced-phosphoprotein 1	K09553	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02IGYFE	lcl|pti:PHATRDRAFT_47192	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IH482	"Zn2+-binding protein Melusin/RAR1, contains CHORD domain (ISS)"	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IH567	"guanine nucleotide binding protein (G protein), alpha 12"	K04346	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IH9OU	ATP-dependent RNA helicase HelY	K03727	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IHAAK	small subunit ribosomal protein S30e	K02983	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M02IHBE2	luminal binding protein	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IHBX7	"alpha,alpha-trehalose-phosphate synthase (UDP-forming)"	K00697	Starch and sucrose metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IHML0	inorganic pyrophosphatase	K01507	Oxidative phosphorylation	bacillariaceae	Phaeodactylum
lcl|FLDA00M02IHMYV	F-type H+-transporting ATPase subunit gamma	K02115	Oxidative phosphorylation	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IHTDV	lcl|pti:PHATRDRAFT_14334	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IIA5G	geranylgeranyl reductase	K10960	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IIB2W	tubulin beta	K07375	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02IIEJX	large subunit ribosomal protein L6e	K02934	Ribosome	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IIFCK	elongation of very long chain fatty acids protein 4	K10249	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IILU0	"dynein heavy chain 1, cytosolic"	K10413	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IILV6	histone H2B	K11252	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M02IIO5M	lcl|pti:PHATRDRAFT_56501	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IIQ40	sulfate adenylyltransferase	K00958	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IJ5Y0	GTP-binding nuclear protein Ran	K07936	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02IJ9OA	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP	K00602	Purine metabolism	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02IJACL	lcl|pti:PHATR_18826	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IJD1O	folylpolyglutamate synthase	K01930	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IJE2K	AP-2 complex subunit mu-1	K11826	Endocytosis	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IJES8	histone H4	K11254	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IJHLW	2-oxoglutarate dehydrogenase E1 component	K00164	Citrate cycle (TCA cycle)	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IJNDR	lcl|pti:PHATRDRAFT_9035	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IJNM3	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IJWOJ	lcl|pti:PHATRDRAFT_49903	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IK2PT	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M02IK8ST	20S proteasome subunit beta 6	K02732	Proteasome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IKF03	lcl|pti:PHATRDRAFT_34165	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IKFKF	small subunit ribosomal protein S23e	K02973	Ribosome	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IKIJC	V-type H+-transporting ATPase subunit F	K02151	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IKIO1	peptidyl-prolyl isomerase F (cyclophilin F)	K09565	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02IKL6Y	S-adenosylmethionine synthetase	K00789	Cysteine and methionine metabolism	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02IKPV7	zinc metalloprotease ZmpB	K08643	NA	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M02IKYLH	large subunit ribosomal protein L44e	K02929	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IKZM6	large subunit ribosomal protein L32e	K02912	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IL57H	elongation factor EF-G	K02355	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IL6AK	heat shock 70kDa protein 5	K09490	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IL6TT	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IL9QF	HopJ type III effector protein	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IL9T2	ACAS2; acetyl-coenzyme a synthetase (EC:6.2.1.1)	NA	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02ILDND	large subunit ribosomal protein LP0	K02941	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02ILH4B	large subunit ribosomal protein LP0	K02941	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02ILT5Z	"CPS III, carbamoyl-phosphate synthase mitochindrial precursor"	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02ILT72	small subunit ribosomal protein SAe	K02998	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02ILXCD	F-type H+-transporting ATPase subunit beta	K02133	Oxidative phosphorylation	bacillariaceae	Thalassiosira
lcl|FLDA00M02ILYL4	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M02IM23Z	elongation factor EF-1 alpha subunit	K03231	NA	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M02IM2GM	large subunit ribosomal protein L9e	K02940	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IM2QR	"guanine nucleotide binding protein (G protein), beta 5"	K04539	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02IM86X	hydroxymethylbilane synthase	K01749	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IMCDC	tubulin alpha	K07374	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IMEBU	small subunit ribosomal protein S20e	K02969	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IMFD0	"glutamate-1-semialdehyde 2,1-aminomutase"	K01845	Porphyrin and chlorophyll metabolism	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IMQSH	ubiquitin-conjugating enzyme E2 I	K10577	Ubiquitin mediated proteolysis	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M02IMS19	small subunit ribosomal protein S7e	K02993	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IMTMA	histone H2B.3	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02IMZN9	fasciclin domain-containing protein	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02IMZPH	heat shock 70kDa protein 1/8	K03283	Spliceosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IN3HM	magnesium chelatase	K03403	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IN4OB	elongation factor EF-3	K03235	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IN93Z	elongation factor EF-2	K03234	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02INBT8	geranylgeranyl reductase	K10960	Terpenoid backbone biosynthesis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02INBUQ	transketolase	K00615	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02INN3K	magnesium-protoporphyrin O-methyltransferase	K03428	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02INOVO	large subunit ribosomal protein L35Ae	K02917	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02INP1W	large subunit ribosomal protein L18e	K02883	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02INR9B	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02INRYX	"GDPmannose 4,6-dehydratase"	K01711	Fructose and mannose metabolism	bacillariaceae	Fragilariopsis
lcl|FLDA00M02INSU6	"coatomer protein complex, subunit alpha (xenin)"	K05236	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02IO39J	phenylalanyl-tRNA synthetase beta chain	K01890	Aminoacyl-tRNA biosynthesis	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IO7H5	small subunit ribosomal protein S4e	K02987	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IOB17	pmp22 family protein	K13348	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IODP6	small subunit ribosomal protein S16e	K02960	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IOEZF	translation initiation factor eIF-4A	K03257	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IOH2W	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IOH6J	large subunit ribosomal protein L15	K02876	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IOLAM	arginine n-methyltransferase-like protein	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IONVV	uroporphyrinogen decarboxylase	K01599	Porphyrin and chlorophyll metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IOO1B	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IOWKL	"glutamate-1-semialdehyde 2,1-aminomutase"	K01845	Porphyrin and chlorophyll metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IOXOV	glutamine synthetase	K01915	"Alanine, aspartate and glutamate metabolism"	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IP0ZH	molecular chaperone HtpG	K04079	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IP2SD	adenosylhomocysteinase	K01251	Cysteine and methionine metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IP9UU	small subunit ribosomal protein S15e	K02958	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IPCX0	translation elongation factor-1-alpha	NA	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02IPF4V	"MFS transporter, MHS family, metabolite:H+ symporter, other"	K03288	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IPFPA	5-methyltetrahydrofolate--homocysteine methyltransferase	K00548	Cysteine and methionine metabolism	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IPFXE	betaine aldehyde dehydrogenase	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02IPHCT	lcl|mbr:MONBRDRAFT_33649*	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IPL7B	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IPOE4	large subunit ribosomal protein L5e	K02932	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IPPU9	adenosylhomocysteinase	K01251	Cysteine and methionine metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IPUN7	tubulin alpha	K07374	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IPUU3	large subunit ribosomal protein L10e	K02866	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IQ0JZ	galactokinase	K00849	Galactose metabolism	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IQ0WM	large subunit ribosomal protein L9e	K02940	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IQ2G7	3-deoxy-7-phosphoheptulonate synthase	K01626	"Phenylalanine, tyrosine and tryptophan biosynthesis"	bacillariaceae	Phaeodactylum
lcl|FLDA00M02IQ5YV	small subunit ribosomal protein S15Ae	K02957	Ribosome	bacillariaceae	Phaeodactylum
lcl|FLDA00M02IQ8AG	ribulose-phosphate 3-epimerase	K01783	Pentose phosphate pathway	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02IQHSS	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IQHU3	alpha/beta superfamily hydrolase	K13697	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IQLDY	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IQNY6	long-chain acyl-CoA synthetase	K01897	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IQUET	flavodoxin I	K03839	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IQVOI	large subunit ribosomal protein L8e	K02938	Ribosome	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IRGH4	cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]	K11717	Selenoamino acid metabolism	bacillariaceae	Phaeodactylum
lcl|FLDA00M02IRK3L	Tic110; translocator of the inner chloroplast envelope membrane 110k	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IS73G	small subunit ribosomal protein S23e	K02973	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IS7N0	uroporphyrinogen decarboxylase	K01599	Porphyrin and chlorophyll metabolism	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IS9OS	"fructose-1,6-bisphosphatase I"	K03841	Glycolysis / Gluconeogenesis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02ISFO9	LHL1; early light induced protein	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02ISO0L	nucleoside-diphosphate kinase	K00940	Purine metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02ISOXX	lcl|pti:PHATRDRAFT_54310	NA	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M02ISQZ6	small subunit ribosomal protein S5e	K02989	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02ISRWR	chaperonin GroEL	K04077	RNA degradation	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02ISY1F	ATP-dependent RNA helicase	K11594	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02ISYIG	large subunit ribosomal protein L44e	K02929	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02ISYKD	small subunit ribosomal protein S23e	K02973	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M02IT42M	cbbx protein	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02ITD37	carotenoid isomerase	K09835	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02ITRCA	large subunit ribosomal protein L35Ae	K02917	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M02ITRS4	phosphoadenosine phosphosulfate reductase	K00390	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02ITTK2	zinc metalloprotease ZmpB	K08643	NA	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M02ITTP0	lcl|pti:PHATRDRAFT_46012	NA	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M02ITU1X	glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]	K00264	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02ITXGT	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02ITXP5	silicic acid transporter	ARM003	Environmental Information Processing; Membrane Transport; ABC transporters	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02ITXT6	peptidyl-prolyl cis-trans isomerase-like 2	K10598	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02IU8XA	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IUEO3	ribulose-phosphate 3-epimerase	K01783	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IUJCT	lcl|pti:PHATRDRAFT_12990	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IUMDX	methylenetetrahydrofolate reductase (NADPH)	K00297	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IUS65	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02IV348	phosphoribosylamine--glycine ligase / phosphoribosylglycinamide	K11787	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IV5H6	small subunit ribosomal protein S7e	K02993	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IVPSF	protochlorophyllide reductase	K00218	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02IVSI1	electron transfer flavoprotein alpha subunit	K03522	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02IVUKQ	glycine hydroxymethyltransferase	K00600	"Glycine, serine and threonine metabolism"	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M02IVX98	F-type H+-transporting ATPase subunit beta	K02133	Oxidative phosphorylation	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02IVXQL	tubulin alpha	K07374	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IVYFO	"fructose-1,6-bisphosphatase I"	K03841	Glycolysis / Gluconeogenesis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IVYVR	geranylgeranyl reductase	K10960	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IW2LU	S-adenosylmethionine synthetase	K00789	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IW2S7	Dynein heavy chain	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02IW5NH	adenosylhomocysteinase	K01251	Cysteine and methionine metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IW75R	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02IW885	ketol-acid reductoisomerase	K00053	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IW9HR	LHL1; early light induced protein	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IW9UD	DnaJ homolog subfamily A member 2	K09503	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IWALE	ADP-ribosylation factor 1	K07937	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IWD8H	phosphoadenosine phosphosulfate reductase	K00390	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02IWDC7	small subunit ribosomal protein S17e	K02962	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IWDEE	carbonic anhydrase	K01672	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IWG29	tubulin beta	K07375	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IWG9B	tubulin beta	K07375	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IWIU5	large subunit ribosomal protein L7Ae	K02936	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IWJ76	K13348 protein Mpv17	K13348	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IWM81	large subunit ribosomal protein L40e	K02927	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M02IWP45	CDC-like kinase	K08823	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IWPWS	F-type H+-transporting ATPase subunit beta	K02133	Oxidative phosphorylation	bacillariaceae	Thalassiosira
lcl|FLDA00M02IWT2E	"mitochondrial import inner membrane translocase subunit TIM50, putative"	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IWVG3	large subunit ribosomal protein L28	K02902	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IX7RV	small subunit ribosomal protein S5e	K02989	Ribosome	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M02IX7WH	magnesium-protoporphyrin O-methyltransferase	K03428	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02IXACM	glycylpeptide N-tetradecanoyltransferase	K00671	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IXDHC	small subunit ribosomal protein S10e	K02947	Ribosome	bacillariaceae	Phaeodactylum
lcl|FLDA00M02IXE47	small subunit ribosomal protein S27e	K02978	Ribosome	bacillariaceae	Fragilariopsis
lcl|FLDA00M02IXGRH	serine/threonine protein phosphatase 1	K07313	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02IXIXG	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia multiseries
